Metadata_hour,Metadata_treatment,Ed
4,alm,0.078354594
4,alm,0.243153006
4,alm,0.280459141
4,alm,0.265882182
4,alm,0.271664067
4,alm,0.316665879
4,alm,0.074573783
4,alm,0.075277648
4,alm,0.05110598
4,alm,0.063236207
4,alm,0.073936987
4,alm,0.072517808
4,alm,0.184124382
4,alm,0.210129217
4,alm,0.231360322
4,alm,0.199749023
4,alm,0.200176002
4,alm,0.218156046
4,alm,0.127903773
4,alm,0.139551107
4,alm,0.157649234
4,alm,0.057833266
4,alm,0.057614797
4,alm,0.075931248
4,alm,0.03983264
4,alm,0.072824832
4,alm,0.066654145
4,alm,0.066461673
4,alm,0.107386774
4,alm,0.096598329
4,alm,0.089603301
4,alm,0.21259459
4,alm,0.193651059
4,alm,0.200781718
4,alm,0.194250922
4,alm,0.203709713
4,alm,0.159431427
4,alm,0.153867803
4,alm,0.139778657
4,alm,0.146227411
4,alm,0.163492161
4,alm,0.19051508
4,alm,0.215957818
4,alm,0.187783819
4,alm,0.185248835
4,alm,0.179688884
4,alm,0.187296107
4,alm,0.161129579
4,alm,0.170830596
4,alm,0.185436933
4,alm,0.218370413
4,alm,0.245341717
4,alm,0.092758428
4,alm,0.090218998
4,alm,0.077259835
4,alm,0.105939901
4,alm,0.089502736
4,alm,0.088557385
4,alm,0.080085593
4,alm,0.072217756
4,alm,0.086645591
4,alm,0.09594021
4,alm,0.116353968
4,alm,0.105997677
4,alm,0.139172668
4,alm,0.081373778
4,alm,0.085151425
4,alm,0.142395331
4,alm,0.143186493
4,alm,0.156788035
4,alm,0.126592618
4,alm,0.115406384
4,alm,0.183649076
4,alm,0.078505154
4,alm,0.083522097
4,alm,0.089768164
4,alm,0.083451981
4,alm,0.085351224
4,alm,0.059263604
4,alm,0.063392743
4,alm,0.453153558
4,alm,0.535644737
4,alm,0.112616666
4,alm,0.116819817
4,alm,0.125050741
4,alm,0.110251656
4,alm,0.092062426
4,alm,0.064698477
4,alm,0.105781976
4,alm,0.192884634
4,alm,0.249493267
4,alm,0.261870312
4,alm,0.179822421
4,alm,0.106031613
4,alm,0.08547862
4,alm,0.067976227
4,alm,0.100988613
4,alm,0.155565572
4,alm,0.196665366
4,alm,0.101059554
4,alm,0.09759014
4,alm,0.092125594
4,alm,0.113078233
4,alm,0.30985533
4,alm,0.266029052
4,alm,0.301894464
4,alm,0.042239365
4,alm,0.046621064
4,alm,0.048751639
4,alm,0.039127721
4,alm,0.015735635
4,alm,0.040395082
4,alm,0.040239465
4,alm,0.126297166
4,alm,0.148142707
4,alm,0.235444891
4,alm,0.265284574
4,alm,0.240684847
4,alm,0.329755829
4,vin,0.025627515
4,vin,0.024344632
4,vin,0.028163099
4,vin,0.028300728
4,vin,0.032916705
4,vin,0.031430702
4,vin,0.023430502
4,vin,0.013925372
4,vin,0.027321894
4,vin,0.042618832
4,vin,0.03202271
4,vin,0.032189322
4,vin,0.026448063
4,vin,0.031009763
4,vin,0.026576864
4,vin,0.026323661
4,vin,0.050117322
4,vin,0.039294834
4,vin,0.170248559
4,vin,0.214756089
4,vin,0.179064851
4,vin,0.254502847
4,vin,0.299436154
4,vin,0.263778885
4,vin,0.007670918
4,vin,0.008141664
4,vin,0.015489239
4,vin,0.014452874
4,vin,0.10047486
4,vin,0.086293078
4,vin,0.116842791
4,vin,0.108537996
4,vin,0.155691128
4,vin,0.144249071
4,vin,0.045638965
4,vin,0.046571905
4,vin,0.043526519
4,vin,0.057708594
4,vin,0.071077522
4,vin,0.073638747
4,vin,0.028795444
4,vin,0.027509697
4,vin,0.031704437
4,vin,0.025201768
4,vin,0.011012181
4,vin,0.022684742
4,vin,0.006809526
4,vin,0.014019993
4,vin,0.016618403
4,vin,0.314825664
4,vin,0.342448793
4,vin,0.35132467
4,vin,0.117985677
4,vin,0.144478855
4,vin,0.13168238
4,vin,0.130292479
4,vin,0.110077844
4,vin,0.125265326
4,vin,0.118550434
4,vin,0.229752282
4,vin,0.024578408
4,vin,0.018366479
4,vin,0.02492516
4,vin,0.020434822
4,vin,0.019782457
4,vin,0.021189141
4,vin,0.031996885
4,vin,0.048487805
4,vin,0.060592919
